ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,JOBS_1000
FL,Florida,39-5092,Manicurists and Pedicurists,detailed,"2,560",0.323
FL,Florida,39-5093,Shampooers,detailed,800,0.101
FL,Florida,39-5094,Skincare Specialists,detailed,"2,840",0.359
FL,Florida,39-6011,Baggage Porters and Bellhops,detailed,"11,250",1.419
FL,Florida,39-6012,Concierges,detailed,"4,500",0.568
FL,Florida,39-7011,Tour Guides and Escorts,detailed,"2,120",0.268
FL,Florida,39-7012,Travel Guides,detailed,70,0.009
FL,Florida,39-9011,Childcare Workers,detailed,"33,860",4.273
FL,Florida,39-9021,Personal Care Aides,detailed,"23,250",2.933
FL,Florida,39-9031,Fitness Trainers and Aerobics Instructors,detailed,"11,660",1.472
FL,Florida,39-9032,Recreation Workers,detailed,"22,940",2.894
FL,Florida,39-9041,Residential Advisors,detailed,"5,380",0.679
FL,Florida,39-9099,"Personal Care and Service Workers, All Other",detailed,"8,010",1.010
FL,Florida,41-0000,Sales and Related Occupations,major,"1,035,070",130.604
FL,Florida,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"86,680",10.937
FL,Florida,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"22,050",2.782
FL,Florida,41-2011,Cashiers,detailed,"226,000",28.517
FL,Florida,41-2012,Gaming Change Persons and Booth Cashiers,detailed,"1,080",0.136
FL,Florida,41-2021,Counter and Rental Clerks,detailed,"30,010",3.786
FL,Florida,41-2022,Parts Salespersons,detailed,"14,350",1.811
FL,Florida,41-2031,Retail Salespersons,detailed,"337,140",42.540
FL,Florida,41-3011,Advertising Sales Agents,detailed,"12,510",1.578
FL,Florida,41-3021,Insurance Sales Agents,detailed,"29,250",3.691
FL,Florida,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"20,910",2.638
FL,Florida,41-3041,Travel Agents,detailed,"6,420",0.810
FL,Florida,41-3099,"Sales Representatives, Services, All Other",detailed,"71,560",9.029
FL,Florida,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"22,420",2.828
FL,Florida,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"91,910",11.597
FL,Florida,41-9011,Demonstrators and Product Promoters,detailed,"4,910",0.620
FL,Florida,41-9012,Models,detailed,**,**
FL,Florida,41-9021,Real Estate Brokers,detailed,"2,840",0.358
FL,Florida,41-9022,Real Estate Sales Agents,detailed,"20,360",2.569
FL,Florida,41-9031,Sales Engineers,detailed,"1,860",0.235
FL,Florida,41-9041,Telemarketers,detailed,"27,820",3.511
FL,Florida,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,40,0.005
FL,Florida,41-9099,"Sales and Related Workers, All Other",detailed,"4,850",0.612
FL,Florida,43-0000,Office and Administrative Support Occupations,major,"1,404,860",177.263
FL,Florida,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,"90,560",11.427
FL,Florida,43-2011,"Switchboard Operators, Including Answering Service",detailed,"6,420",0.810
FL,Florida,43-2021,Telephone Operators,detailed,620,0.078
FL,Florida,43-2099,"Communications Equipment Operators, All Other",detailed,220,0.028
FL,Florida,43-3011,Bill and Account Collectors,detailed,"20,930",2.641
FL,Florida,43-3021,Billing and Posting Clerks,detailed,"33,140",4.181
FL,Florida,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"91,670",11.566
FL,Florida,43-3041,Gaming Cage Workers,detailed,580,0.074
FL,Florida,43-3051,Payroll and Timekeeping Clerks,detailed,"6,680",0.843
FL,Florida,43-3061,Procurement Clerks,detailed,"3,210",0.405
FL,Florida,43-3071,Tellers,detailed,"31,850",4.018
FL,Florida,43-3099,"Financial Clerks, All Other",detailed,"2,050",0.258
FL,Florida,43-4011,Brokerage Clerks,detailed,"3,590",0.453
FL,Florida,43-4021,Correspondence Clerks,detailed,380,0.048
FL,Florida,43-4031,"Court, Municipal, and License Clerks",detailed,"5,660",0.714
FL,Florida,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,"2,820",0.356
FL,Florida,43-4051,Customer Service Representatives,detailed,"220,700",27.847
FL,Florida,43-4061,"Eligibility Interviewers, Government Programs",detailed,"3,650",0.461
FL,Florida,43-4071,File Clerks,detailed,"15,930",2.009
FL,Florida,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,"18,370",2.318
FL,Florida,43-4111,"Interviewers, Except Eligibility and Loan",detailed,"11,260",1.421
FL,Florida,43-4121,"Library Assistants, Clerical",detailed,"4,540",0.573
FL,Florida,43-4131,Loan Interviewers and Clerks,detailed,"15,980",2.016
FL,Florida,43-4141,New Accounts Clerks,detailed,"1,380",0.174
FL,Florida,43-4151,Order Clerks,detailed,"8,980",1.133
FL,Florida,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"7,330",0.924
FL,Florida,43-4171,Receptionists and Information Clerks,detailed,"76,570",9.661
FL,Florida,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"17,980",2.268
FL,Florida,43-4199,"Information and Record Clerks, All Other",detailed,"17,600",2.221
FL,Florida,43-5011,Cargo and Freight Agents,detailed,"6,390",0.806
FL,Florida,43-5021,Couriers and Messengers,detailed,"4,040",0.510
FL,Florida,43-5031,"Police, Fire, and Ambulance Dispatchers",detailed,"6,110",0.771
FL,Florida,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,"10,980",1.386
FL,Florida,43-5041,"Meter Readers, Utilities",detailed,"1,510",0.190
FL,Florida,43-5051,Postal Service Clerks,detailed,"3,630",0.458
FL,Florida,43-5052,Postal Service Mail Carriers,detailed,"18,620",2.349
FL,Florida,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"6,050",0.764
FL,Florida,43-5061,"Production, Planning, and Expediting Clerks",detailed,"10,320",1.302
FL,Florida,43-5071,"Shipping, Receiving, and Traffic Clerks",detailed,"33,020",4.167
FL,Florida,43-5081,Stock Clerks and Order Fillers,detailed,"123,120",15.535
FL,Florida,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,"3,630",0.457
FL,Florida,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,"39,760",5.017
FL,Florida,43-6012,Legal Secretaries,detailed,"13,380",1.689
FL,Florida,43-6013,Medical Secretaries,detailed,"19,700",2.486
FL,Florida,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"173,050",21.835
FL,Florida,43-9011,Computer Operators,detailed,"2,350",0.296
FL,Florida,43-9021,Data Entry Keyers,detailed,"16,860",2.128
FL,Florida,43-9022,Word Processors and Typists,detailed,"2,600",0.328
FL,Florida,43-9031,Desktop Publishers,detailed,480,0.060
FL,Florida,43-9041,Insurance Claims and Policy Processing Clerks,detailed,"16,980",2.143
FL,Florida,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"5,150",0.650
FL,Florida,43-9061,"Office Clerks, General",detailed,"155,040",19.563
FL,Florida,43-9071,"Office Machine Operators, Except Computer",detailed,"3,550",0.448
FL,Florida,43-9081,Proofreaders and Copy Markers,detailed,400,0.051
FL,Florida,43-9111,Statistical Assistants,detailed,400,0.050
FL,Florida,43-9199,"Office and Administrative Support Workers, All Other",detailed,"7,110",0.897
FL,Florida,45-0000,"Farming, Fishing, and Forestry Occupations",major,"22,440",2.831
FL,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,"1,440",0.181
FL,Florida,45-2011,Agricultural Inspectors,detailed,510,0.065
FL,Florida,45-2041,"Graders and Sorters, Agricultural Products",detailed,"2,270",0.286
FL,Florida,45-2091,Agricultural Equipment Operators,detailed,"1,270",0.161
FL,Florida,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"14,650",1.848
FL,Florida,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,920,0.117
FL,Florida,45-3011,Fishers and Related Fishing Workers,detailed,**,**
FL,Florida,45-4022,Logging Equipment Operators,detailed,"1,070",0.135
FL,Florida,45-4023,Log Graders and Scalers,detailed,70,0.009
FL,Florida,47-0000,Construction and Extraction Occupations,major,"318,230",40.154
FL,Florida,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"35,890",4.529
FL,Florida,47-2011,Boilermakers,detailed,550,0.069
FL,Florida,47-2021,Brickmasons and Blockmasons,detailed,"3,020",0.381
FL,Florida,47-2022,Stonemasons,detailed,610,0.076
FL,Florida,47-2031,Carpenters,detailed,"36,620",4.621
FL,Florida,47-2041,Carpet Installers,detailed,710,0.090
FL,Florida,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,380,0.047
FL,Florida,47-2043,Floor Sanders and Finishers,detailed,**,**
FL,Florida,47-2044,Tile and Marble Setters,detailed,"4,760",0.601
FL,Florida,47-2051,Cement Masons and Concrete Finishers,detailed,"11,130",1.405
FL,Florida,47-2053,Terrazzo Workers and Finishers,detailed,290,0.037
FL,Florida,47-2061,Construction Laborers,detailed,"51,270",6.469
FL,Florida,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,"2,570",0.325
FL,Florida,47-2072,Pile-Driver Operators,detailed,240,0.031
FL,Florida,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,"14,160",1.787
FL,Florida,47-2081,Drywall and Ceiling Tile Installers,detailed,"5,000",0.631
FL,Florida,47-2082,Tapers,detailed,40,0.005
FL,Florida,47-2111,Electricians,detailed,"32,160",4.058
FL,Florida,47-2121,Glaziers,detailed,"3,660",0.462
FL,Florida,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,"1,670",0.211
FL,Florida,47-2132,"Insulation Workers, Mechanical",detailed,"1,400",0.177
FL,Florida,47-2141,"Painters, Construction and Maintenance",detailed,"16,960",2.139
FL,Florida,47-2142,Paperhangers,detailed,180,0.023
FL,Florida,47-2151,Pipelayers,detailed,"4,070",0.513
FL,Florida,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,"20,970",2.646
FL,Florida,47-2161,Plasterers and Stucco Masons,detailed,"2,380",0.300
FL,Florida,47-2171,Reinforcing Iron and Rebar Workers,detailed,900,0.114
FL,Florida,47-2181,Roofers,detailed,"14,790",1.866
FL,Florida,47-2211,Sheet Metal Workers,detailed,"7,310",0.922
FL,Florida,47-2221,Structural Iron and Steel Workers,detailed,"3,890",0.491
FL,Florida,47-2231,Solar Photovoltaic Installers,detailed,**,**
FL,Florida,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,"1,040",0.131
FL,Florida,47-3012,Helpers--Carpenters,detailed,"1,870",0.235
FL,Florida,47-3013,Helpers--Electricians,detailed,"5,890",0.743
FL,Florida,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,620,0.079
FL,Florida,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,"3,920",0.494
FL,Florida,47-3016,Helpers--Roofers,detailed,"1,200",0.152
FL,Florida,47-3019,"Helpers, Construction Trades, All Other",detailed,"1,020",0.129
FL,Florida,47-4011,Construction and Building Inspectors,detailed,"6,160",0.778
FL,Florida,47-4021,Elevator Installers and Repairers,detailed,"1,790",0.225
FL,Florida,47-4031,Fence Erectors,detailed,900,0.113
FL,Florida,47-4041,Hazardous Materials Removal Workers,detailed,"1,320",0.167
FL,Florida,47-4051,Highway Maintenance Workers,detailed,"2,800",0.353
FL,Florida,47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,240,0.031
FL,Florida,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,"1,450",0.182
FL,Florida,47-4091,Segmental Pavers,detailed,310,0.039
FL,Florida,47-4099,"Construction and Related Workers, All Other",detailed,"7,790",0.983
FL,Florida,47-5012,"Rotary Drill Operators, Oil and Gas",detailed,60,0.007
FL,Florida,47-5013,"Service Unit Operators, Oil, Gas, and Mining",detailed,70,0.009
FL,Florida,47-5021,"Earth Drillers, Except Oil and Gas",detailed,"1,050",0.132
FL,Florida,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,**,**
FL,Florida,47-5042,Mine Cutting and Channeling Machine Operators,detailed,40,0.006
FL,Florida,47-5071,"Roustabouts, Oil and Gas",detailed,70,0.009
FL,Florida,47-5081,Helpers--Extraction Workers,detailed,130,0.017
FL,Florida,49-0000,"Installation, Maintenance, and Repair Occupations",major,"337,030",42.526
FL,Florida,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"27,430",3.462
FL,Florida,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,"5,950",0.751
FL,Florida,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,650,0.082
FL,Florida,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,"18,020",2.274
FL,Florida,49-2091,Avionics Technicians,detailed,"1,790",0.226
FL,Florida,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,920,0.116
FL,Florida,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,670,0.085
FL,Florida,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,"4,170",0.526
FL,Florida,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,"1,480",0.187
FL,Florida,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,530,0.066
FL,Florida,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detailed,"2,230",0.281
FL,Florida,49-2098,Security and Fire Alarm Systems Installers,detailed,"5,760",0.727
FL,Florida,49-3011,Aircraft Mechanics and Service Technicians,detailed,"12,010",1.515
FL,Florida,49-3021,Automotive Body and Related Repairers,detailed,"9,240",1.165
FL,Florida,49-3022,Automotive Glass Installers and Repairers,detailed,"1,120",0.141
FL,Florida,49-3023,Automotive Service Technicians and Mechanics,detailed,"43,480",5.486
FL,Florida,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"10,490",1.324
FL,Florida,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,790,0.100
FL,Florida,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,"4,990",0.629
FL,Florida,49-3043,Rail Car Repairers,detailed,610,0.077
FL,Florida,49-3051,Motorboat Mechanics and Service Technicians,detailed,"2,800",0.353
FL,Florida,49-3052,Motorcycle Mechanics,detailed,"1,220",0.154
FL,Florida,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,"2,660",0.336
FL,Florida,49-3091,Bicycle Repairers,detailed,700,0.089
FL,Florida,49-3092,Recreational Vehicle Service Technicians,detailed,950,0.120
FL,Florida,49-3093,Tire Repairers and Changers,detailed,"8,330",1.051
FL,Florida,49-9011,Mechanical Door Repairers,detailed,870,0.109
FL,Florida,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,"1,260",0.159
FL,Florida,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,"26,390",3.329
FL,Florida,49-9031,Home Appliance Repairers,detailed,"3,160",0.399
FL,Florida,49-9041,Industrial Machinery Mechanics,detailed,"11,130",1.405
FL,Florida,49-9043,"Maintenance Workers, Machinery",detailed,"1,680",0.212
FL,Florida,49-9044,Millwrights,detailed,570,0.072
FL,Florida,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,70,0.009
FL,Florida,49-9051,Electrical Power-Line Installers and Repairers,detailed,"7,330",0.925
FL,Florida,49-9052,Telecommunications Line Installers and Repairers,detailed,"6,190",0.782
FL,Florida,49-9061,Camera and Photographic Equipment Repairers,detailed,**,**
FL,Florida,49-9062,Medical Equipment Repairers,detailed,"4,510",0.569
FL,Florida,49-9063,Musical Instrument Repairers and Tuners,detailed,460,0.058
FL,Florida,49-9064,Watch Repairers,detailed,380,0.048
FL,Florida,49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,290,0.036
FL,Florida,49-9071,"Maintenance and Repair Workers, General",detailed,"80,190",10.118
FL,Florida,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,"1,840",0.232
FL,Florida,49-9092,Commercial Divers,detailed,300,0.038
FL,Florida,49-9094,Locksmiths and Safe Repairers,detailed,"1,890",0.239
FL,Florida,49-9095,Manufactured Building and Mobile Home Installers,detailed,**,**
FL,Florida,49-9096,Riggers,detailed,780,0.099
FL,Florida,49-9097,Signal and Track Switch Repairers,detailed,50,0.007
FL,Florida,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,"6,000",0.757
FL,Florida,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,"12,240",1.544
FL,Florida,51-0000,Production Occupations,major,"306,270",38.645
FL,Florida,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,"23,930",3.020
FL,Florida,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,"1,770",0.223
FL,Florida,51-2021,"Coil Winders, Tapers, and Finishers",detailed,440,0.055
FL,Florida,51-2022,Electrical and Electronic Equipment Assemblers,detailed,"11,240",1.418
FL,Florida,51-2023,Electromechanical Equipment Assemblers,detailed,"1,260",0.159
FL,Florida,51-2031,Engine and Other Machine Assemblers,detailed,260,0.033
FL,Florida,51-2041,Structural Metal Fabricators and Fitters,detailed,"3,450",0.435
FL,Florida,51-2091,Fiberglass Laminators and Fabricators,detailed,"2,080",0.262
FL,Florida,51-2092,Team Assemblers,detailed,"38,520",4.861
FL,Florida,51-2099,"Assemblers and Fabricators, All Other",detailed,"5,980",0.754
FL,Florida,51-3011,Bakers,detailed,"12,750",1.608
FL,Florida,51-3021,Butchers and Meat Cutters,detailed,"10,650",1.344
FL,Florida,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,"4,790",0.604
FL,Florida,51-3023,Slaughterers and Meat Packers,detailed,370,0.047
FL,Florida,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,490,0.062
FL,Florida,51-3092,Food Batchmakers,detailed,"3,530",0.446
FL,Florida,51-3093,Food Cooking Machine Operators and Tenders,detailed,370,0.047
FL,Florida,51-3099,"Food Processing Workers, All Other",detailed,"1,060",0.133
FL,Florida,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,"1,680",0.212
FL,Florida,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,420,0.054
FL,Florida,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"2,100",0.264
FL,Florida,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,110,0.013
FL,Florida,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,110,0.014
FL,Florida,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"3,520",0.444
FL,Florida,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,160,0.020
FL,Florida,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"1,720",0.216
FL,Florida,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,310,0.039
FL,Florida,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,150,0.019
FL,Florida,51-4041,Machinists,detailed,"9,260",1.168
FL,Florida,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,260,0.033
FL,Florida,51-4052,"Pourers and Casters, Metal",detailed,90,0.011
FL,Florida,51-4061,"Model Makers, Metal and Plastic",detailed,140,0.018
FL,Florida,51-4062,"Patternmakers, Metal and Plastic",detailed,230,0.029
FL,Florida,51-4071,Foundry Mold and Coremakers,detailed,90,0.011
FL,Florida,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"3,020",0.381
FL,Florida,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,660,0.083
FL,Florida,51-4111,Tool and Die Makers,detailed,880,0.111
FL,Florida,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,"12,080",1.524
FL,Florida,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,640,0.081
FL,Florida,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,150,0.019
FL,Florida,51-4192,"Layout Workers, Metal and Plastic",detailed,130,0.016
FL,Florida,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,700,0.088
FL,Florida,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,**,**
FL,Florida,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,**,**
FL,Florida,51-5111,Prepress Technicians and Workers,detailed,"1,500",0.189
FL,Florida,51-5112,Printing Press Operators,detailed,"8,410",1.061
FL,Florida,51-5113,Print Binding and Finishing Workers,detailed,"2,100",0.265
FL,Florida,51-6011,Laundry and Dry-Cleaning Workers,detailed,"16,960",2.140
FL,Florida,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,"3,670",0.463
FL,Florida,51-6031,Sewing Machine Operators,detailed,"7,480",0.944
FL,Florida,51-6041,Shoe and Leather Workers and Repairers,detailed,370,0.047
FL,Florida,51-6051,"Sewers, Hand",detailed,110,0.013
FL,Florida,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,630,0.080
FL,Florida,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,100,0.012
FL,Florida,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,230,0.029
FL,Florida,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,170,0.021
FL,Florida,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,90,0.011
FL,Florida,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,440,0.056
FL,Florida,51-6092,Fabric and Apparel Patternmakers,detailed,**,**
FL,Florida,51-6093,Upholsterers,detailed,"1,250",0.158
FL,Florida,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,**,**
FL,Florida,51-7011,Cabinetmakers and Bench Carpenters,detailed,"4,040",0.509
FL,Florida,51-7021,Furniture Finishers,detailed,820,0.104
FL,Florida,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"1,030",0.130
FL,Florida,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"2,980",0.375
FL,Florida,51-7099,"Woodworkers, All Other",detailed,120,0.015
FL,Florida,51-8012,Power Distributors and Dispatchers,detailed,320,0.041
FL,Florida,51-8013,Power Plant Operators,detailed,"1,720",0.218
FL,Florida,51-8021,Stationary Engineers and Boiler Operators,detailed,530,0.067
FL,Florida,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,"5,660",0.714
FL,Florida,51-8091,Chemical Plant and System Operators,detailed,930,0.117
FL,Florida,51-8092,Gas Plant Operators,detailed,140,0.018
FL,Florida,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,230,0.029
FL,Florida,51-8099,"Plant and System Operators, All Other",detailed,380,0.048
FL,Florida,51-9011,Chemical Equipment Operators and Tenders,detailed,"1,430",0.181
FL,Florida,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,"1,110",0.139
FL,Florida,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,890,0.112
FL,Florida,51-9022,"Grinding and Polishing Workers, Hand",detailed,520,0.066
FL,Florida,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,"5,440",0.686
FL,Florida,51-9031,"Cutters and Trimmers, Hand",detailed,210,0.026
FL,Florida,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,"1,780",0.225
FL,Florida,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,"2,100",0.265
FL,Florida,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,600,0.076
FL,Florida,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,"13,630",1.720
FL,Florida,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,"1,190",0.150
FL,Florida,51-9081,Dental Laboratory Technicians,detailed,"2,910",0.368
FL,Florida,51-9082,Medical Appliance Technicians,detailed,700,0.088
FL,Florida,51-9083,Ophthalmic Laboratory Technicians,detailed,"2,810",0.354
FL,Florida,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,"14,750",1.861
FL,Florida,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,"2,380",0.301
FL,Florida,51-9122,"Painters, Transportation Equipment",detailed,"2,690",0.340
FL,Florida,51-9123,"Painting, Coating, and Decorating Workers",detailed,600,0.075
FL,Florida,51-9141,Semiconductor Processors,detailed,420,0.053
FL,Florida,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,"1,780",0.224
FL,Florida,51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,200,0.026
FL,Florida,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,680,0.086
FL,Florida,51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,280,0.035
FL,Florida,51-9194,Etchers and Engravers,detailed,240,0.030
FL,Florida,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,"2,350",0.296
FL,Florida,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,"2,680",0.339
FL,Florida,51-9197,Tire Builders,detailed,120,0.015
FL,Florida,51-9198,Helpers--Production Workers,detailed,"9,010",1.137
FL,Florida,51-9199,"Production Workers, All Other",detailed,"6,530",0.823
FL,Florida,53-0000,Transportation and Material Moving Occupations,major,"477,530",60.254
FL,Florida,53-1011,Aircraft Cargo Handling Supervisors,detailed,390,0.049
FL,Florida,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed,"7,970",1.006
FL,Florida,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,detailed,"9,440",1.191
FL,Florida,53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,"4,340",0.548
FL,Florida,53-2012,Commercial Pilots,detailed,"4,230",0.534
FL,Florida,53-2021,Air Traffic Controllers,detailed,"1,810",0.228
FL,Florida,53-2022,Airfield Operations Specialists,detailed,430,0.054
FL,Florida,53-2031,Flight Attendants,detailed,"8,020",1.012
FL,Florida,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,240,0.030
FL,Florida,53-3021,"Bus Drivers, Transit and Intercity",detailed,"9,980",1.259
FL,Florida,53-3022,"Bus Drivers, School or Special Client",detailed,"18,560",2.341
FL,Florida,53-3031,Driver/Sales Workers,detailed,"22,980",2.900
FL,Florida,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,"72,280",9.121
FL,Florida,53-3033,Light Truck or Delivery Services Drivers,detailed,"44,870",5.661
FL,Florida,53-3041,Taxi Drivers and Chauffeurs,detailed,"10,030",1.265
FL,Florida,53-3099,"Motor Vehicle Operators, All Other",detailed,"3,770",0.476
FL,Florida,53-4011,Locomotive Engineers,detailed,510,0.065
FL,Florida,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,140,0.018
FL,Florida,53-4031,Railroad Conductors and Yardmasters,detailed,680,0.086
FL,Florida,53-4041,Subway and Streetcar Operators,detailed,**,**
FL,Florida,53-5011,Sailors and Marine Oilers,detailed,"1,340",0.170
